so_no,customer,pe_id,product_code,product_name,bom_status,mtype,mat_id,mat_code,mat_name,need_qty,po_no,po_id,po_status,link_state,po_qty
SO-00617,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3386,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3795,1001355,"1, 3 - PROPANEDIOL",0.591,EI/PO/26-27/786,983,Released,unlinked,200
SO-00617,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3386,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.02955,EI/PO/26-27/787,984,Released,unlinked,10
SO-00617,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3386,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3411,1000612,AQUA,4.85802,DPO-005,1087,Released,unlinked,179
SO-00055,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3252,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3795,1001355,"1, 3 - PROPANEDIOL",0.162,EI/PO/26-27/786,983,Released,unlinked,200
SO-00055,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3252,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.0081,EI/PO/26-27/787,984,Released,unlinked,10
SO-00055,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3252,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3411,1000612,AQUA,1.33164,DPO-005,1087,Released,unlinked,179
SO-00059,M/s R K Pharmacy,3343,PR0004226-KC,PERSONIKS NORMAL SKIN SUNSCREEN SPF 50 PA++++ 50 ML,Production Released,RM,3327,1000473,VEGAROL 1698,0.875,EI/PO/26-27/881,1026,Released,unlinked,100
SO-00059,M/s R K Pharmacy,3343,PR0004226-KC,PERSONIKS NORMAL SKIN SUNSCREEN SPF 50 PA++++ 50 ML,Production Released,RM,2998,1000040,ARLACEL 2121,0.75,EI/PO/26-27/901,1041,Released,unlinked,50
SO-00059,M/s R K Pharmacy,3343,PR0004226-KC,PERSONIKS NORMAL SKIN SUNSCREEN SPF 50 PA++++ 50 ML,Production Released,RM,3542,1001284,CCTG,0.125,DPO-003,1085,Released,linked:PR,3
SO-00059,M/s R K Pharmacy,3343,PR0004226-KC,PERSONIKS NORMAL SKIN SUNSCREEN SPF 50 PA++++ 50 ML,Production Released,RM,3411,1000612,WATER,18.1225,DPO-005,1087,Released,unlinked,179
SO-00516,OLIVA SKIN AND HAIR CLINIC,3300,PR0005612,OLIVA TRESSLIV HAIR ENRICHING CONDITIONER FOR NORMAL TO OILY SCALP 200ML,Production Released,RM,3327,1000473,VEGAROL 1698,6.732,EI/PO/26-27/881,1026,Released,unlinked,100
SO-00516,OLIVA SKIN AND HAIR CLINIC,3300,PR0005612,OLIVA TRESSLIV HAIR ENRICHING CONDITIONER FOR NORMAL TO OILY SCALP 200ML,Production Released,RM,3795,1001355,COSCARE - PDO,3.168,EI/PO/26-27/786,983,Released,unlinked,200
SO-00516,OLIVA SKIN AND HAIR CLINIC,3300,PR0005612,OLIVA TRESSLIV HAIR ENRICHING CONDITIONER FOR NORMAL TO OILY SCALP 200ML,Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,2.376,EI/PO/26-27/893,1034,Released,unlinked,500
SO-00516,OLIVA SKIN AND HAIR CLINIC,3300,PR0005612,OLIVA TRESSLIV HAIR ENRICHING CONDITIONER FOR NORMAL TO OILY SCALP 200ML,Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,2.376,EI/PO/26-27/925,1058,Released,unlinked,500
SO-00516,OLIVA SKIN AND HAIR CLINIC,3300,PR0005612,OLIVA TRESSLIV HAIR ENRICHING CONDITIONER FOR NORMAL TO OILY SCALP 200ML,Production Released,RM,3277,1000412,Butyrospermum Parkii Butter,0.792,EI/PO/26-27/881,1026,Released,unlinked,80
SO-00516,OLIVA SKIN AND HAIR CLINIC,3300,PR0005612,OLIVA TRESSLIV HAIR ENRICHING CONDITIONER FOR NORMAL TO OILY SCALP 200ML,Production Released,RM,3411,1000612,WATER,51.42852,DPO-005,1087,Released,unlinked,179
SO-00033,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3254,PR0006921,SKINQ HYDRATE & NOURISH MASK 10GM_Sample pack,Production Released,RM,3355,1000511,Niacinamide,3,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00033,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3254,PR0006921,SKINQ HYDRATE & NOURISH MASK 10GM_Sample pack,Production Released,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.75,EI/PO/26-27/787,984,Released,unlinked,10
SO-00033,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3254,PR0006921,SKINQ HYDRATE & NOURISH MASK 10GM_Sample pack,Production Released,RM,3285,1000422,SODIUM GLUCONATE,0.6,EI/PO/26-27/881,1026,Released,unlinked,25
SO-00033,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3254,PR0006921,SKINQ HYDRATE & NOURISH MASK 10GM_Sample pack,Production Released,RM,3411,1000612,WATER,227.97,DPO-005,1087,Released,unlinked,179
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3480,1001162,EMPICOL XCT 14,18.5616,EI/PO/26-27/898,1039,Released,unlinked,210
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3897,1001183,GALAXY CAPB,12.3744,EI/PO/26-27/951,1077,Released,unlinked,200
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3359,1000517,GALAXY SCI 85P,7.734,EI/PO/26-27/949,1075,Released,unlinked,240
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3434,1000806,Propylene Glycol,1.5468,EI/PO/26-27/895,1036,Released,unlinked,430
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3486,1001182,FM-proVB5,0.7734,EI/PO/26-27/897,1038,Released,unlinked,40
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3355,1000511,Niacinamide,0.30936,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3328,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3411,1000612,WATER,85.074,DPO-005,1087,Released,unlinked,179
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3480,1001162,EMPICOL XCT 14,22.32,EI/PO/26-27/898,1039,Released,unlinked,210
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3897,1001183,GALAXY CAPB,14.88,EI/PO/26-27/951,1077,Released,unlinked,200
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3359,1000517,GALAXY SCI 85P,9.3,EI/PO/26-27/949,1075,Released,unlinked,240
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3434,1000806,Propylene Glycol,1.86,EI/PO/26-27/895,1036,Released,unlinked,430
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3486,1001182,FM-proVB5,0.93,EI/PO/26-27/897,1038,Released,unlinked,40
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3355,1000511,Niacinamide,0.372,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3371,PR0006410,SKINKRAFT INTENSIVE MOISTURE RESTORE SHAMPOO - 120 ml,Production Released,RM,3411,1000612,WATER,102.3,DPO-005,1087,Released,unlinked,179
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3897,1001183,GALAXY CAPB,7.68,EI/PO/26-27/951,1077,Released,unlinked,200
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3486,1001182,FM-proVB5,0.48,EI/PO/26-27/897,1038,Released,unlinked,40
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3434,1000806,Propylene Glycol,2.4,EI/PO/26-27/895,1036,Released,unlinked,430
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3503,1001220,GALSOFT ECOCARE 175,3.84,EI/PO/26-27/951,1077,Released,unlinked,50
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3355,1000511,Niacinamide,0.192,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3257,1000392,Salicylic Acid,0.96,EI/PO/26-27/881,1026,Released,unlinked,50
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3411,1000612,WATER,45.216,DPO-005,1087,Released,unlinked,179
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3480,1001162,EMPICOL XCT 14,11.52,EI/PO/26-27/898,1039,Released,unlinked,210
SO-00007,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3374,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3359,1000517,GALAXY SCI 85P,4.8,EI/PO/26-27/949,1075,Released,unlinked,240
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3897,1001183,GALAXY CAPB,15.2256,EI/PO/26-27/951,1077,Released,unlinked,200
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3486,1001182,FM-proVB5,0.9516,EI/PO/26-27/897,1038,Released,unlinked,40
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3434,1000806,Propylene Glycol,4.758,EI/PO/26-27/895,1036,Released,unlinked,430
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3503,1001220,GALSOFT ECOCARE 175,7.6128,EI/PO/26-27/951,1077,Released,unlinked,50
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3355,1000511,Niacinamide,0.38064,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3257,1000392,Salicylic Acid,1.9032,EI/PO/26-27/881,1026,Released,unlinked,50
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3411,1000612,WATER,89.64072,DPO-005,1087,Released,unlinked,179
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3480,1001162,EMPICOL XCT 14,22.8384,EI/PO/26-27/898,1039,Released,unlinked,210
SO-00173,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3331,PR0006413,SKINKRAFT VOLUME ENHANCE DANDRUFF CARE SHAMPOO 120 ML,Production Released,RM,3359,1000517,GALAXY SCI 85P,9.516,EI/PO/26-27/949,1075,Released,unlinked,240
SO-00662,KOSMODERMA HEALTHCARE PRIVATE LIMITED,3378,PR0005017,KOSMODERMA HYDRA BOOST GEL 30ML,Production Released,RM,3795,1001355,"1, 3 - PROPANEDIOL",0.75,EI/PO/26-27/786,983,Released,unlinked,200
